CRSP2_Unique_ID,Severe_Crashes,Area_Type,Context_Zone,Int_Type,Total_Entering_ADT,Cross_Product,Design_Type,Traffic_Control,Leg_Configuration,Major_Division_Configuration,Minor_Division_Configuration,Major_Surface_Type,Minor_Surface_Type,Alignment_Skew,Railroad_Crossing,Adjacent_Curve,Adjacent_Development,Street Parking,Lighting,Previous_Stop,Major_Speed_Limit,Minor_Speed_Limit,Flashers,Overhead_Signal,Left_Turn_Phasing_Maj,Left_Turn_Phasing_Min,Maj1_Lane_Config,Maj2_Lane_Config,Sidewalk,Refuge_Island,Ped_Crossing,Bike_Facility,Ped_Indicator,Transit_Adjacent,School_Crosswalk,Legs,Max_Lanes_Cross
350174,0,suburban,residential,intersection,14400,50517500,traditional,signal,x,undivided,undivided,paved,paved,0,none,no,no,no,yes,0,30,30,no,yes,permitted,permitted,tt,tt,yes,no,yes,no,no,yes,no,4,4
350184,0,urban,recreational,intersection,11700,32660000,traditional,signal,x,undivided,undivided,paved,paved,0,none,no,no,no,yes,0,30,30,no,yes,permitted,permitted,tt,tt,yes,no,yes,no,yes,yes,no,4,4
350200,0,suburban,residential,intersection,25500,144500000,traditional,signal,x,divided,undivided,paved,paved,0,none,no,no,no,yes,0,30,30,no,yes,protected,permitted/protected,ltt,ltt,yes,yes,yes,no,yes,yes,no,4,4
360000,0,urban,mixed use,ramp terminal,20200,0,traditional,signal,x,undivided,undivided,paved,paved,5,none,no,yes,no,yes,0,30,30,no,yes,none,permitted,ttt,other,yes,no,yes,no,yes,no,no,4,3
360001,2,urban,mixed use,ramp terminal,23100,0,traditional,signal,x,undivided,undivided,paved,paved,0,none,yes,yes,no,yes,0,30,30,no,yes,protected,none,ttt,other,yes,no,yes,no,yes,no,no,4,4
360002,1,urban,residential,intersection,28100,115500000,traditional,signal,x,undivided,undivided,paved,paved,0,none,no,yes,no,yes,0,30,30,no,yes,permitted,both,ttt,other,yes,no,yes,yes,yes,yes,no,4,3
360004,0,urban,residential,intersection,3675,2543750,traditional,signal,x,undivided,undivided,paved,paved,10,none,no,yes,no,yes,0,30,30,no,yes,permitted,permitted,ttt,other,yes,no,yes,yes,yes,no,no,4,3
360010,0,urban,campus,intersection,4625,3558750,traditional,signal,x,undivided,undivided,paved,paved,0,none,yes,no,no,yes,0,30,30,no,yes,permitted,permitted,ttt,other,yes,no,yes,no,yes,no,yes,4,3
360012,1,urban,mixed use,intersection,23950,104650000,traditional,signal,x,undivided,undivided,paved,paved,0,none,no,yes,no,yes,0,30,30,no,yes,permitted,both,ttt,other,yes,no,yes,yes,yes,yes,no,4,3
360016,0,urban,campus,intersection,18200,0,traditional,signal,x,undivided,undivided,paved,paved,0,none,yes,yes,no,yes,0,30,30,no,yes,permitted,permitted,ttt,other,yes,no,yes,yes,yes,yes,yes,4,3
