ACCN,Cur_CRSP2ID_int
112080263,C.43.4.7.034
112090045,C.86.4.3.008
112090119,C.27.4.66.018
112090122,C.27.4.3.028
112090142,C.27.4.152.024
112100032,C.27.4.12.007
112100052,C.27.4.62.005
112100111,C.27.4.28.001
112100112,C.27.4.10.067
112100190,C.56.4.16.004
112110085,C.27.4.28.001
112120006,C.69.4.4.010
112130123,C.13.7.82.001
112140096,C.27.4.81.013
112140155,C.27.4.3.015
112150105,C.27.4.5.017
112150125,C.27.4.66.019
112150155,C.27.4.1.025
112150216,C.73.4.34.004
112150270,C.27.4.60.001
112160023,C.69.4.20.004
112160238,C.27.4.81.026
112170017,C.69.4.20.003
112170095,C.18.4.77.005
112170130,C.27.4.81.002
112190044,C.27.4.101.010
112190046,C.56.4.54.001
112190050,C.25.4.7.040
112190061,C.49.4.8.007
112200046,C.56.4.35.047
112200111,C.27.4.5.002
112200135,C.27.4.51.005
112210072,C.27.4.52.006
112210092,C.73.4.1.013
112210105,C.27.4.52.001
112210109,C.27.4.31.004
112210110,C.56.4.83.008
112210244,C.13.4.7.005
112220039,C.43.4.16.006
112220156,C.27.4.2.001
112220236,C.73.4.75.011
112230043,C.27.4.130.015
112230140,C.24.4.19.006
112250121,C.27.4.10.062
112250146,C.09.4.61.005
112270092,C.56.4.44.001
112270199,C.27.4.144.003
112290118,C.27.4.52.004
112290159,C.27.4.10.033
112290178,C.13.4.25.015
112300073,C.55.4.22.014
112300094,C.27.4.61.025
112310162,C.27.4.66.018
112310177,C.27.4.53.001
112310194,C.27.4.1.023
112310285,C.27.4.1.022
112330087,C.27.4.73.003
112330159,C.27.4.152.002
112340002,C.73.4.44.016
112340050,C.27.4.158.004
112340067,C.56.4.38.004
112340072,C.86.4.36.001
112340093,C.69.4.77.006
112340136,C.27.4.10.068
112340213,C.18.4.39.007
112340232,C.49.4.34.002
112340234,C.27.4.88.002
112350169,C.24.4.35.007
112350177,C.69.7.180.031
112350185,C.27.4.9.024
112350193,C.27.4.101.006
112360086,C.27.4.27.005
112360235,C.25.4.7.049
112370156,C.27.4.43.004
112370160,C.27.4.1.022
112370223,C.25.4.17.012
112370233,C.13.4.30.008
112400031,C.13.4.20.016
112400127,C.86.7.119.012
112410037,C.73.7.156.004
112410136,C.73.7.168.004
112410168,C.27.4.15.040
112440039,C.27.4.152.003
112440041,C.27.4.53.003
112440046,C.04.4.24.006
112450138,C.25.7.48.003
112450275,C.56.4.88.003
112460045,C.27.4.101.009
112460118,C.73.4.4.006
112470087,C.25.4.1.031
112480102,C.73.7.144.002
112480123,C.73.4.7.013
112490035,C.18.7.127.011
112490101,C.27.4.5.022
112500001,C.73.4.8.010
112500117,C.55.4.22.012
112500144,C.27.4.153.002
112500259,C.27.4.81.025
112510112,C.27.4.1.026
112510136,C.27.4.110.011
112520099,C.27.4.10.054
112540127,C.25.4.24.008
112540147,C.69.7.929.008
112540154,C.13.7.63.001
112550051,C.86.4.13.001
112560117,C.27.4.27.005
112560123,C.27.4.27.005
112560144,C.27.4.3.028
112560198,C.73.7.134.011
112560215,C.27.4.3.028
112570009,C.73.4.44.018
112570024,C.69.4.20.005
112580009,C.27.4.152.024
112580064,C.27.4.3.024
112580151,C.09.4.4.007
112580194,C.27.4.3.027
112580195,C.27.4.19.020
112590084,C.73.4.81.001
112590109,C.55.4.36.002
112590126,C.27.4.1.023
112600128,C.73.7.155.006
112620055,C.27.4.50.023
112620074,C.27.4.60.006
112620077,C.27.4.3.025
112630150,C.13.7.82.001
112630174,C.27.4.144.003
112640059,C.27.4.81.002
112640098,C.73.4.43.002
112650064,C.13.4.22.001
112650191,C.69.4.61.016
112660060,C.27.4.40.013
112670034,C.86.4.35.024
112680073,C.13.4.37.002
112690090,C.04.4.11.001
112690096,C.27.4.52.006
112690278,C.43.4.7.017
112700080,C.27.4.101.029
112700116,C.04.4.11.006
112700161,C.56.4.82.010
112700192,C.27.4.81.004
112700209,C.27.4.152.003
112700211,C.27.4.27.004
112700267,C.27.4.15.060
112710002,C.43.4.7.008
112710125,C.55.4.22.011
112720033,C.73.7.155.004
112720044,C.56.4.65.007
112720059,C.56.4.54.005
112720094,C.27.4.12.012
112730162,C.27.4.19.051
112730188,C.27.4.10.061
112750021,C.27.7.47.009
112750043,C.69.4.25.001
112750052,C.25.4.9.006
112750187,C.69.7.424.007
112760009,C.69.4.9.005
112760063,C.49.4.1.020
112760106,C.27.4.10.070
112760126,C.27.4.1.023
112760190,C.86.4.36.009
112770064,C.27.4.152.025
112770083,C.56.4.65.013
112780097,C.27.4.5.018
112780115,C.49.7.213.003
112780179,C.56.4.35.047
112790087,C.25.7.53.007
112800086,C.13.4.14.007
112800102,C.27.4.66.003
112800175,C.69.4.91.004
112800230,C.27.4.10.056
112810121,C.27.4.152.025
112830022,C.04.4.8.002
112830093,C.27.4.1.026
112830094,C.27.4.48.002
112830095,C.27.4.81.022
112840089,C.47.4.2.006
112840158,C.25.4.6.016
112840223,C.27.4.10.042
112850078,C.27.4.37.001
112850147,C.27.4.52.004
112850151,C.27.4.1.023
112850167,C.27.4.9.024
112850185,C.27.4.15.025
112850198,C.27.4.1.023
112850217,C.56.4.27.001
112850327,C.73.4.133.002
112860010,C.69.4.26.006
112860160,C.27.4.28.002
112900114,C.73.7.184.004
112900149,C.56.4.65.009
112920107,C.86.4.34.001
112930060,C.13.4.4.003
112940160,C.73.4.4.012
112950114,C.13.4.10.005
112950150,C.25.7.53.007
112960117,C.73.4.51.004
112970026,C.27.4.3.026
112970064,C.86.4.18.011
112970160,C.27.4.15.012
112970204,C.69.4.16.017
112980029,C.55.4.4.006
112980074,C.27.4.15.014
112980167,C.55.4.34.004
112990073,C.27.4.61.053
112990103,C.18.4.20.001
112990127,C.27.4.9.019
112990152,C.86.7.136.005
113000063,C.04.4.15.021
113000074,C.27.4.15.002
113000136,C.27.4.152.003
113010104,C.69.4.104.001
113010156,C.27.4.109.001
113020036,C.73.4.2.019
113020138,C.73.4.1.006
113040022,C.69.4.90.003
113040089,C.13.4.23.003
113040111,C.86.4.35.010
113050048,C.73.4.16.001
113050056,C.73.4.41.011
113050108,C.27.4.52.003
113070089,C.27.4.28.003
113070221,C.27.4.10.054
113080089,C.27.4.3.025
113090095,C.27.4.50.029
113090110,C.73.4.138.005
113110109,C.27.4.1.023
113110113,C.27.4.122.001
113110119,C.73.4.75.013
113110143,C.27.4.3.025
113110146,C.27.4.12.015
113110149,C.25.4.14.023
113110211,C.27.4.8.004
113110240,C.69.4.31.007
113120078,C.73.4.3.001
113120148,C.27.4.39.003
113120163,C.27.4.9.019
113120171,C.43.4.16.006
113120196,C.27.4.112.013
113120236,C.13.4.14.002
113120242,C.25.4.11.001
