acc_0615_ForGIS_pt.ACCN,acc_0615_ForGIS_pt.Int_CRSP2ID_int
111240053,I.56.4.16.007
111240063,I.55.4.22.031
111240095,I.69.4.9.051
111240098,I.55.4.34.024
111240101,I.55.4.22.046
111240104,I.55.4.25.016
111240172,I.55.4.4.019
111240188,I.55.4.12.016
111250008,I.69.4.137.004
111250011,I.69.7.945.003
111250016,I.55.4.3.033
111250017,I.56.4.12.014
111250048,I.73.4.13.042
111250122,I.69.4.115.008
111250199,I.73.4.47.011
111250201,I.86.4.36.001
111260025,I.55.4.6.016
111260039,I.69.4.9.074
111260054,I.69.4.4.010
111260106,I.73.4.138.012
111260167,I.73.4.75.050
111260175,I.55.4.4.019
111260201,I.47.4.14.001
111260209,I.55.4.1.023
111260231,I.69.4.7.048
111260236,I.69.7.567.001
111260241,I.69.4.76.002
111270003,I.73.4.14.011
111270036,I.69.7.761.001
111270049,I.55.7.147.001
111270060,I.73.4.75.056
111270073,I.56.4.1.117
111270114,I.73.4.115.001
111270121,I.69.4.4.019
111280017,I.73.4.81.012
111280087,I.73.4.137.008
111290025,I.73.4.134.011
111290037,I.73.4.133.013
111290041,I.55.4.22.041
111290081,I.69.4.9.074
111290141,I.86.4.19.032
111300027,I.73.4.75.040
111300044,I.73.4.49.004
111300115,I.73.4.81.019
111300223,I.69.4.13.002
111300232,I.56.4.80.001
111310025,I.69.4.91.006
111310071,I.55.4.22.052
111310086,I.55.4.36.026
111310108,I.55.4.2.013
111310112,I.55.4.4.021
111310120,I.69.4.56.022
111310139,I.73.4.4.026
111310207,I.55.4.33.017
111310235,I.69.4.32.003
111320025,I.73.4.4.028
111320115,I.55.4.34.024
111320118,I.73.4.134.006
111330011,I.43.4.25.030
111330101,I.69.4.4.010
111330127,I.69.4.37.007
111340032,I.73.4.2.024
111340043,I.56.4.67.043
111340056,I.55.4.2.003
111340059,I.86.4.35.050
111340082,I.69.4.4.008
111340092,I.69.7.898.004
111340115,I.86.4.19.024
111340125,I.73.4.4.054
111340145,I.73.4.10.039
111350034,I.69.4.4.001
111350078,I.56.7.116.005
111360057,I.47.4.14.020
111360071,I.55.4.35.004
111360215,I.56.7.143.004
111370038,I.73.4.81.019
111370095,I.55.4.1.036
111370134,I.69.4.9.071
111370139,I.69.4.9.065
111370170,I.69.4.9.016
111380011,I.73.4.43.006
111380023,I.73.4.2.062
111380031,I.55.4.22.040
111380035,I.55.4.25.017
111380056,I.55.4.36.023
111380069,I.55.4.22.037
111380077,I.69.4.91.001
111380081,I.55.4.25.020
111380106,I.73.4.75.050
111380107,I.47.4.4.028
111380112,I.86.4.19.004
111380137,I.73.4.81.015
111380140,I.73.4.75.048
111380143,I.49.4.35.006
111390119,I.73.4.75.047
111390151,I.73.4.13.043
111400013,I.73.4.134.004
111400020,I.55.4.3.014
111400054,I.55.4.6.016
111400175,I.73.4.75.041
111400211,I.56.4.8.003
111400245,I.73.7.125.001
111400252,I.69.4.4.001
111410062,I.69.4.4.012
111410078,I.55.4.1.037
111410100,I.55.4.11.018
111410121,I.73.4.75.048
111410122,I.55.4.2.011
111420026,I.73.4.1.054
111420075,I.73.4.75.049
111420091,I.73.4.81.019
111430095,I.73.4.81.019
111430118,I.73.4.138.014
111430170,I.69.4.54.017
111440005,I.69.4.13.002
111440019,I.56.4.67.045
111440045,I.73.4.2.056
111440059,I.69.4.16.020
111440062,I.73.4.75.040
111440093,I.69.4.7.073
111440102,I.73.4.3.021
111440114,I.55.4.34.024
111440116,I.69.4.9.021
111440136,I.55.4.25.022
111440156,I.69.4.13.013
111440171,I.69.4.91.021
111450059,I.69.4.4.001
111450061,I.55.4.22.005
111450065,I.55.4.2.007
111450084,I.55.7.112.001
111450092,I.55.4.22.041
111450146,I.73.7.134.009
111460007,I.73.4.69.006
111460057,I.56.4.1.085
111460107,I.86.4.3.050
111460120,I.86.4.44.001
111470181,I.55.4.11.018
111470187,I.69.4.37.019
111470223,I.86.4.19.041
111470235,I.55.7.146.002
111480065,I.69.4.91.001
111480070,I.73.4.75.066
111480108,I.73.4.75.047
111480114,I.69.4.9.065
111480153,I.73.4.1.011
111480167,I.73.4.50.012
111490036,I.56.4.1.127
111490051,I.69.4.6.033
111490059,I.86.7.106.004
111490092,I.55.4.8.024
111490112,I.86.4.19.030
111500023,I.55.4.19.001
111500045,I.43.4.1.002
111500079,I.69.4.4.010
111500080,I.69.4.4.001
111500095,I.73.4.75.056
111500104,I.49.4.35.003
111500110,I.49.4.33.010
111510019,I.86.7.134.001
111510020,I.47.4.27.005
111510084,I.69.4.34.001
111510116,I.86.4.75.006
111510130,I.86.4.18.001
111510133,I.86.4.18.001
111510249,I.73.4.75.048
111520022,I.73.4.14.011
111520026,I.86.4.42.003
111520095,I.55.4.25.028
111520111,I.55.4.22.037
111520156,I.73.4.75.058
111520183,I.69.4.4.031
111520219,I.86.4.37.035
111530019,I.86.4.35.029
111530133,I.55.4.22.015
111530162,I.86.4.6.020
111530178,I.69.4.34.001
111540017,I.86.4.37.062
111540059,I.69.4.13.013
111540087,I.43.7.54.006
111540098,I.56.7.123.003
111540112,I.43.7.90.005
111540128,I.69.4.9.068
111540136,I.69.4.54.006
111540209,I.73.4.75.047
111540239,I.73.4.75.035
111540246,I.86.4.6.001
111550031,I.69.4.13.021
111550091,I.73.4.13.049
111550124,I.73.4.4.027
111550148,I.86.7.134.002
