ACCN,YEAR,Seg_CRSP2ID_int
110620167,2011,S.55.4.9.001
110620204,2011,S.49.4.24.002
110630006,2011,S.43.4.2.003
110630118,2011,S.56.4.21.001
110630133,2011,S.73.4.50.001
110630168,2011,S.86.4.37.009
110630171,2011,S.73.4.120.001
110640026,2011,S.73.4.13.007
110640028,2011,S.73.4.9.004
110640038,2011,S.69.7.259.002
110640058,2011,S.73.4.134.003
110640078,2011,S.73.4.7.002
110640102,2011,S.69.4.13.001
110650011,2011,S.86.4.35.007
110650013,2011,S.69.4.2.001
110650072,2011,S.73.4.120.001
110650078,2011,S.56.4.82.003
110650111,2011,S.73.4.7.002
110650129,2011,S.73.7.159.001
110650158,2011,S.73.7.186.002
110650167,2011,S.73.4.81.001
110650170,2011,S.69.4.54.001
110650181,2011,S.69.4.91.001
110650212,2011,S.43.4.1.001
110660028,2011,S.73.4.2.003
110660040,2011,S.55.4.22.001
110660045,2011,S.43.4.14.001
110660089,2011,S.73.4.4.002
110660129,2011,S.55.7.133.001
110660146,2011,S.69.4.9.002
110660172,2011,S.55.4.25.003
110660193,2011,S.73.4.7.002
110660217,2011,S.86.7.109.001
110660268,2011,S.86.4.4.002
110660559,2011,S.69.4.4.001
110670018,2011,S.73.4.17.007
110670201,2011,S.73.4.71.001
110680056,2011,S.55.7.133.001
110680101,2011,S.55.4.22.004
110680140,2011,S.56.4.90.001
110680149,2011,S.69.4.14.002
110680154,2011,S.56.4.42.001
110680188,2011,S.73.4.4.001
110680219,2011,S.56.4.55.001
110680365,2011,S.69.4.48.004
110690067,2011,S.55.4.34.002
110690089,2011,S.47.4.14.001
110690107,2011,S.56.7.111.001
110690128,2011,S.73.4.13.006
110700098,2011,S.73.4.7.002
110710015,2011,S.73.4.137.001
110710032,2011,S.56.4.51.003
110710043,2011,S.73.4.7.002
110710047,2011,S.73.4.7.002
110710064,2011,S.56.4.27.003
110710081,2011,S.86.4.37.009
110710087,2011,S.69.4.48.004
110710088,2011,S.73.4.75.002
110710130,2011,S.56.4.35.010
110710133,2011,S.69.4.101.001
110710136,2011,S.43.4.5.002
110710166,2011,S.73.4.138.002
110720006,2011,S.69.4.47.002
110720026,2011,S.69.4.21.002
110720038,2011,S.73.4.4.003
110720048,2011,S.69.4.65.001
110720062,2011,S.73.4.9.006
110720099,2011,S.86.4.30.002
110720106,2011,S.69.4.4.001
110730097,2011,S.49.4.13.001
110730175,2011,S.56.4.35.006
110740033,2011,S.86.4.37.005
110740047,2011,S.86.4.3.002
110740085,2011,S.55.4.13.001
110740117,2011,S.86.4.11.001
110740165,2011,S.69.4.9.002
110740189,2011,S.73.4.4.002
110740192,2011,S.43.4.1.005
110740250,2011,S.55.4.2.002
